Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,4385.76,4398.15,4368.87,4382.25,4382.25,0
2018-06-21,4401.06,4409.83,4336.61,4342.0,4342.0,0
2018-06-22,4354.91,4354.96,4297.79,4309.57,4309.57,0
2018-06-25,4256.11,4256.11,4161.03,4202.27,4202.27,0
2018-06-26,4220.97,4246.45,4204.86,4224.31,4224.31,0
2018-06-27,4241.63,4251.41,4138.08,4139.04,4139.04,0
2018-06-28,4128.8,4186.5,4121.2,4175.66,4175.66,0
2018-06-29,4200.74,4231.85,4192.09,4193.32,4193.32,0
2018-07-02,4148.91,4230.85,4138.2,4229.62,4229.62,0
2018-07-03,4246.73,4247.81,4175.8,4178.6,4178.6,0
2018-07-05,4214.82,4253.85,4201.83,4252.83,4252.83,0
2018-07-06,4253.06,4310.55,4246.15,4303.98,4303.98,0
2018-07-09,4332.21,4335.99,4294.69,4335.39,4335.39,0
2018-07-10,4340.42,4356.59,4332.88,4349.84,4349.84,0
2018-07-11,4300.18,4327.61,4291.26,4297.72,4297.72,0
2018-07-12,4331.94,4394.64,4329.71,4393.41,4393.41,0
2018-07-13,4394.46,4400.23,4372.4,4381.93,4381.93,0
2018-07-16,4382.88,4391.35,4365.43,4371.97,4371.97,0
2018-07-17,4341.36,4414.95,4337.03,4411.42,4411.42,0
2018-07-18,4423.9,4432.95,4409.97,4429.39,4429.39,0
2018-07-19,4413.25,4424.73,4390.06,4399.87,4399.87,0
2018-07-20,4401.62,4406.87,4380.07,4382.81,4382.81,0
2018-07-23,4365.71,4388.71,4330.94,4385.19,4385.19,0
2018-07-24,4415.13,4434.44,4353.6,4360.37,4360.37,0
2018-07-25,4366.1,4414.86,4349.89,4414.5,4414.5,0
2018-07-26,4404.99,4434.83,4396.47,4423.08,4423.08,0
2018-07-27,4433.92,4439.62,4338.08,4369.61,4369.61,0
2018-07-30,4367.71,4373.53,4278.98,4300.53,4300.53,0
2018-07-31,4325.77,4353.55,4300.4,4322.72,4322.72,0
2018-08-01,4318.03,4346.32,4300.47,4315.1,4315.1,0
2018-08-02,4267.27,4358.14,4267.27,4354.86,4354.86,0
2018-08-03,4352.7,4368.48,4329.77,4368.48,4368.48,0
2018-08-06,4356.42,4394.3,4352.33,4393.95,4393.95,0
2018-08-07,4401.89,4417.64,4393.67,4404.08,4404.08,0
2018-08-08,4403.02,4419.34,4386.32,4406.97,4406.97,0
2018-08-09,4387.65,4392.3,4363.21,4364.63,4364.63,0
2018-08-10,4308.65,4323.37,4289.47,4303.82,4303.82,0
2018-08-13,4312.54,4331.67,4288.68,4292.96,4292.96,0
2018-08-14,4306.74,4310.61,4278.79,4297.06,4297.06,0
2018-08-15,4254.12,4273.44,4210.11,4244.35,4244.35,0
2018-08-16,4284.76,4288.6,4251.94,4260.48,4260.48,0
2018-08-17,4229.65,4265.53,4206.89,4257.11,4257.11,0
